Script Start,Round,Round Start, Round Finish,Source,Source User,Target Name,Target Name, Target Type,Is Default, Port Name
10-08-2015 09:14:15,1,09:14:21,09:14:23,SHARP MX-C311 PS (redirected 2),Administrator,Rename Only,SHARP MX-C311 PS - Administrator,Self - SHARP MX-C311 PS (redirected 2),No,TS001
10-08-2015 09:21:38,1,09:21:41,09:21:42,SHARP MX-C311 PS (redirected 2),Administrator,Rename Only,SHARP MX-C311 PS - Administrator,Self - SHARP MX-C311 PS (redirected 2),Yes,TS001
10-08-2015 09:21:38,2,09:21:43,09:21:44,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Rename Only,HP06B66F (HP Officejet Pro 8600) - Administrator,Self - HP06B66F (HP Officejet Pro 8600) (redirected 2),No,TS004
10-08-2015 09:29:54,1,09:29:56,09:29:58,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) - Administrator,New,No,TS004
10-08-2015 09:29:54,2,09:29:59,09:30:00,SHARP MX-C311 PS (redirected 2),Administrator,Full Access,SHARP MX-C311 PS - Administrator,New,Yes,TS001
10-08-2015 09:30:24,1,09:30:25,09:30:26,SHARP MX-C311 PS (redirected 2),Administrator,Full Access,SHARP MX-C311 PS - Administrator,Existing - SHARP MX-C311 PS - Administrator,Yes,TS002
10-08-2015 09:30:24,2,09:30:27,09:30:29,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) - Administrator,Existing - HP06B66F (HP Officejet Pro 8600) - Administrator,No,TS006
10-08-2015 09:31:47,2,09:31:50,09:31:52,SHARP MX-C311 PS (redirected 2),Administrator,Full Access,SHARP MX-C311 PS On MOB-ZACHARY,Existing - SHARP MX-C311 PS - Administrator,Yes,TS003
10-08-2015 09:31:47,3,09:31:53,09:31:54,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,Existing - HP06B66F (HP Officejet Pro 8600) - Administrator,No,TS005
10-08-2015 09:33:19,5,09:33:25,09:33:27,SHARP MX-C311 PS (redirected 3),Caroline,Full Access,SHARP MX-C311 PS On MOB-ZACHARY,Existing - SHARP MX-C311 PS On MOB-ZACHARY,Yes,TS009
10-08-2015 09:33:19,6,09:33:28,09:33:29,HP06B66F (HP Officejet Pro 8600) (redirected 3),Caroline,Full Access,HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,Existing - HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,No,TS012
10-08-2015 09:56:07,1,09:56:10,09:56:12,SHARP MX-C311 PS (redirected 3),Caroline,Full Access,SHARP MX-C311 PS On MOB-ZACHARY,Existing - SHARP MX-C311 PS On MOB-ZACHARY,Yes,TS003
10-08-2015 09:56:07,2,09:56:13,09:56:14,HP06B66F (HP Officejet Pro 8600) (redirected 3),Caroline,Full Access,HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,Existing - HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,No,TS008
10-08-2015 09:56:38,7,09:56:47,09:56:49,SHARP MX-C311 PS (redirected 3),Caroline,Full Access,SHARP MX-C311 PS On MOB-ZACHARY,Existing - SHARP MX-C311 PS On MOB-ZACHARY,Yes,TS005
10-08-2015 09:56:38,8,09:56:50,09:56:51,HP06B66F (HP Officejet Pro 8600) (redirected 3),Caroline,Full Access,HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,Existing - HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,No,TS011
